strategy,label,color,total_production_time,production_time_per_item,mean_completion_rate,mean_queue_depth_units,max_queue_depth_units,mean_recv_depth_units,max_recv_depth_units,total_recv_seconds,mean_in_transit_pieces,mean_reorder_placements,mean_batch_prod_hours
uni_rank_cartlabor_norsl,Uni|Rank_cartlabor|noRSL,#d9b45b,26208590.59387135,101.23642000838731,0.2995567110425553,0.0,0.0,0.0,0.0,16068449.305636998,11648.725,1774.175,182.00410134632884
uni_fifo_norsl,Uni|FIFO|noRSL,#d95b5b,26339448.449542053,101.7171341332702,0.2967104486349087,5.375,215.0,0.0,0.0,16095098.654298965,11600.475,1780.85,182.91283645515313
opt_rank_cartlabor_norsl,Opt|Rank_cartlabor|noRSL,#5b80d9,25657980.21057183,99.09042891293888,0.3096166070547712,27.65,956.0,0.0,0.0,16245348.202275297,11306.375,1771.15,178.18041812897104
opt_fifo_norsl,Opt|FIFO|noRSL,#5bd9d9,26339448.449542053,101.7171341332702,0.2967104486349087,5.375,215.0,0.0,0.0,16095098.654298965,11600.475,1780.85,182.91283645515313
