strategy,label,color,total_production_time,production_time_per_item,mean_completion_rate,mean_queue_depth_units,max_queue_depth_units,mean_recv_depth_units,max_recv_depth_units,total_recv_seconds,mean_in_transit_pieces,mean_reorder_placements,mean_batch_prod_hours
uni_rank_minlabor_norsl,Uni|Rank_minlabor|noRSL,#d9ca5b,23615554.118139833,18.76994313761851,1.2020820954265965,170.725,3648.0,0.0,0.0,4820894.943495506,52387.075,14580.35,163.99690359819328
uni_fifo_norsl,Uni|FIFO|noRSL,#d95b5b,23631570.154394276,18.78350893202163,1.2012026105235782,516.7,6891.0,0.0,0.0,4810881.113437273,52413.8,14549.275,164.10812607218247
opt_rank_minlabor_norsl,Opt|Rank_minlabor|noRSL,#5b6ad9,23340878.61016176,18.549312858991396,1.2152230745562635,244.025,3834.0,0.0,0.0,4832680.136597813,53072.2,14605.825,162.08943479278997
opt_fifo_norsl,Opt|FIFO|noRSL,#5bd9d9,23631570.154394276,18.78350893202163,1.2012026105235782,516.7,6891.0,0.0,0.0,4810881.113437273,52413.8,14549.275,164.10812607218247
