strategy,label,color,total_production_time,production_time_per_item,mean_completion_rate,mean_queue_depth_units,max_queue_depth_units,mean_recv_depth_units,max_recv_depth_units,total_recv_seconds,mean_in_transit_pieces,mean_reorder_placements,mean_batch_prod_hours
uni_rank_minlabor_norsl,Uni|Rank_minlabor|noRSL,#d9ca5b,23584444.551450633,18.74649825403525,1.201530680152088,308.975,4964.0,0.0,0.0,4787638.118002895,61754.475,14486.575,163.78086494062939
uni_fifo_norsl,Uni|FIFO|noRSL,#d95b5b,23625477.21080777,18.77887493625865,1.2027570221352462,684.925,7066.0,0.0,0.0,4788963.605765223,52871.1,14486.625,164.06581396394287
opt_rank_minlabor_norsl,Opt|Rank_minlabor|noRSL,#5b6ad9,23294231.021343138,18.51711231728157,1.216006916486209,1006.55,14669.0,0.0,0.0,4764663.952833217,62415.375,14405.725,161.7654932037718
opt_fifo_norsl,Opt|FIFO|noRSL,#5bd9d9,23625477.21080777,18.77887493625865,1.2027570221352462,684.925,7066.0,0.0,0.0,4788963.605765223,52871.1,14486.625,164.06581396394287
