strategy,label,color,total_production_time,production_time_per_item,mean_completion_rate,mean_queue_depth_units,max_queue_depth_units,mean_recv_depth_units,max_recv_depth_units,total_recv_seconds,mean_in_transit_pieces,mean_reorder_placements,mean_batch_prod_hours
uni_rank_cartlabor_norsl,Uni|Rank_cartlabor|noRSL,#d9b45b,26262055.63002284,101.26964936305697,0.2996547945212768,0.0,0.0,0.0,0.0,16932190.12722847,0.0,1875.875,182.37538631960302
uni_fifo_norsl,Uni|FIFO|noRSL,#d95b5b,26349027.09455193,101.60502180463324,0.29626164521824194,67.9,671.0,0.0,0.0,16933790.671413034,0.0,1876.325,182.9793548232773
opt_rank_cartlabor_norsl,Opt|Rank_cartlabor|noRSL,#5b80d9,25725182.498765923,99.19940191096188,0.30948921215889913,25.475,386.0,0.0,0.0,16935437.92733959,0.0,1875.1,178.64710068587448
opt_fifo_norsl,Opt|FIFO|noRSL,#5bd9d9,26349027.09455193,101.60502180463324,0.29626164521824194,67.9,671.0,0.0,0.0,16933790.671413034,0.0,1876.325,182.9793548232773
