decile,mean_f,p_realised,p_line_share,p_successive
1,0.0434247,0.000146566,0.000270214,0.000270666
2,0.102806,0.000376884,0.000639718,0.000640656
3,0.229345,0.000837521,0.00142712,0.00142865
4,0.314169,0.00134003,0.00195494,0.00195658
5,0.34727,0.00143425,0.00216092,0.0021625
6,0.378981,0.00170645,0.00235824,0.00235974
7,0.43244,0.0017902,0.00269089,0.00269214
8,0.621528,0.00478434,0.00386751,0.00386696
9,0.775674,0.00620812,0.00482669,0.00482378
10,0.894806,0.00713987,0.005568,0.00556256
