cell,scheduler,pair,pickcfg,channel,arm,initial,assignment,labor_hours,batch_hours,thr_items_hr,thr_task_items_hr,labor_saved,items,n_batches
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_cmax_norsl,opt,cmax,17.661367503371583,1.0508080831872275,4708908.377478823,278378.8072506286,0.009054358404174678,4958866,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cmax_norsl,uni,cmax,20.25215888782157,1.2047025692879134,4826216.757786968,291631.2006097655,0.006319218078672861,5930062,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_cmax_norsl,uni,cmax,17.66242100994403,1.0363039542609294,4685211.346809443,278384.71711768775,0.008000851831727829,4958906,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_cmin_norsl,opt,cmin,20.25062396034041,1.0293572691055073,5737700.530706932,291648.2992693741,0.008069842568811936,5929944,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_cmin_norsl,opt,cmin,17.644303010463013,0.8990910365604994,5461050.0700674495,278437.1470181081,0.02390295527592201,4955074,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cmin_norsl,uni,cmin,20.254220473834764,1.0297788657778495,5735901.056545396,291614.7062800442,0.004473329074457411,5930160,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_cmin_norsl,uni,cmin,17.665267119021546,0.8999270972749295,5461520.754523303,278354.46142728435,0.0029388467173880883,4958948,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_cmin_norsl,opt,cmin,20.249262056397182,1.083418339545663,5448829.329848341,291662.19288991543,0.009216049503059764,5929936,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_cmin_norsl,opt,cmin,17.64546190966675,0.9446773066026073,5208337.795013381,278408.17711559375,0.024959952109007588,4955031,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cmin_norsl,uni,cmin,20.25511735995669,1.0821188890651083,5451568.788716117,291606.3740562857,0.0033607459435529563,5930190,75
