cell,pair,config,channel,arm,rule,binkey,n,m_cnt,gate_n_ok,gate_prod_ok,branch,solve_s,error
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|seasonal|small|pallet,6830,2000,False,False,greedy_gate,1.00000761449337e-06,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|seasonal|singleton|singleton,6667,1500,False,False,greedy_gate,5.00003807246685e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|electronic|medium|pallet,3896,1000,False,True,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|seasonal|medium|pallet,15113,1000,False,False,greedy_gate,7.00005330145359e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,conveyable|furniture|extra_large|pallet,1648,500,False,True,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|chemical|small|pallet,705,1705,True,True,lap,0.49633080000057817,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|clothing|medium|pallet,14249,1000,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|food|singleton|singleton,4716,1500,False,False,greedy_gate,5.999900167807937e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|clothing|singleton|singleton,512,1262,True,True,lap,0.19436120000318624,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|furniture|extra_large|pallet,6518,500,False,True,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,conveyable|furniture|large|pallet,6414,650,False,False,greedy_gate,1.9998697098344564e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|seasonal|extra_large|pallet,7095,500,False,True,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|electronic|small|pallet,10505,2000,False,False,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,conveyable|furniture|medium|pallet,206,612,True,True,lap,0.013296900011482649,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,conveyable|clothing|large|pallet,7302,650,False,False,greedy_gate,1.9998697098344564e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|furniture|medium|pallet,729,1000,True,True,lap,0.22574040001200046,
