channel,rule,label,family,control,n_arms,precomp_s,precomp_src,has_precompute,map_lap_pct,map_lap_scope,precomp_scope,reord_s,sim_s,total_s,x_reord_vs_fifo,x_total_vs_fifo,scoring_s,reord_ms_per_unit,scoring_ms_per_unit,reord_s_per_wave,units_per_wave,n_batches,workers,contended
fulfillment,cluster_map,CluMap,cluster_map,False,8,18.327962749994185,backfill,True,0.000892912903731307,per catalogue (one solve per inventory pair; the same value appears on every channel row),"once per arm, per inventory pair — a two-channel site does not pay it twice",2683.6442414500925,89.34846680008923,3139.0934240000206,18.10403269562977,4.530318633989934,2535.4096306002175,0.9769492766817705,0.922986201542296,35.781923219334566,36626.18323529411,75.0,20,True
fulfillment,cluster_map_rank,CluMapRk,cluster_map,False,8,19.25780250000389,backfill,True,0.000892912903731307,per catalogue (one solve per inventory pair; the same value appears on every channel row),"once per arm, per inventory pair — a two-channel site does not pay it twice",2622.8738124497468,86.37757254988537,3066.7403651500063,17.694071562720726,4.425899183384124,2474.6392015998717,0.9548265132623357,0.9008634381228613,34.97165083266329,36626.18323529411,75.0,20,True
fulfillment,cmax,MaxClu,affinity,False,8,,,False,,,,1771.6108761499927,94.62576370025636,2237.945316550031,11.951398300253887,3.2297877125612553,1623.3762653001177,0.6449342044983871,0.5909711293589127,23.62147834866657,36626.18323529411,75.0,20,True
fulfillment,cmin,MinClu,affinity,True,8,,,False,,,,1843.9376058498456,96.93200039997464,2296.7337211999984,12.43931896389095,3.3146307449514523,1695.7029949999705,0.6712639039323361,0.6173008287928617,24.58583474466461,36626.18323529411,75.0,20,True
fulfillment,comp,Compact,codemand,False,8,,,False,,,,2347.3342226498644,88.25285210009315,2782.1174785999756,15.835264174755604,4.015133337188144,2199.0996117999894,0.8545195505157638,0.8005564753762894,31.297789635331526,36626.18323529411,75.0,20,True
fulfillment,expn,Expand,codemand,True,8,,,False,,,,1489.389572050015,97.46621724986471,1923.5696812500246,10.047515647734913,2.7760828983677315,1341.15496120014,0.542194841863764,0.48823176672428953,19.858527627333533,36626.18323529411,75.0,20,True
fulfillment,fifo,FIFO,baseline,False,8,,,False,,,,148.23461084987503,97.6024228001479,692.9078675500059,1.0,1.0,0.0,0.0539630751394744,0.0,1.9764614779983336,36626.18323529411,75.0,20,True
fulfillment,map,Map,map,False,8,18.754906299996946,backfill,True,0.000892912903731307,per catalogue (one solve per inventory pair; the same value appears on every channel row),"once per arm, per inventory pair — a two-channel site does not pay it twice",310.45376594993286,98.05550334983855,806.8529943499889,2.09434061431406,1.1644448448866251,162.21915510005783,0.11301705993788258,0.059053984798408184,4.139383545999105,36626.18323529411,75.0,20,True
fulfillment,map_rank,Map_rank,map,False,8,18.28990094999608,backfill,True,0.000892912903731307,per catalogue (one solve per inventory pair; the same value appears on every channel row),"once per arm, per inventory pair — a two-channel site does not pay it twice",356.99109419979504,97.70317444999819,858.0447940500162,2.4082843551384814,1.238324507822236,208.75648334992002,0.12995842961355852,0.07599535447408413,4.759881255997267,36626.18323529411,75.0,20,True
fulfillment,rank_cartlabor,Rank_cartlabor,ranked,False,8,,,False,,,,618.9711975500686,92.78286580002168,1088.4601971499796,4.175618595423259,1.5708584764646614,470.7365867001936,0.22532922001861191,0.1713661448791375,8.25294930066758,36626.18323529411,75.0,20,True
fulfillment,rank_labor,Rank_labor,ranked,False,8,,,False,,,,522.4426861499669,93.31536615002551,994.4609403500217,3.524431191572878,1.4351993777560237,374.2080753000919,0.1901891452147545,0.13622607007528012,6.965902481999558,36626.18323529411,75.0,20,True
fulfillment,rank_maxlabor,Rank_maxlabor,ranked,True,8,,,False,,,,1666.2690110001422,98.28059580005356,2124.772145850002,11.240755458168001,3.066456949554929,1518.0344001502672,0.6065857314135767,0.5526226562741023,22.216920146668564,36626.18323529411,75.0,20,True
fulfillment,rank_minlabor,Rank_minlabor,ranked,False,8,,,False,,,,2541.6967327501334,90.60447739966912,2972.1383168500324,17.146445881820696,4.289370140014377,2393.4621219002584,0.9252749474956218,0.8713118723561474,33.88928977000178,36626.18323529411,75.0,20,True
fulfillment,rank_popularity,Rank_popularity,ranked,False,8,,,False,,,,392.5969806498615,94.97525764993043,860.7542503500008,2.6484839026390747,1.2422347770324338,244.36236979998648,0.1429203358438008,0.08895726070432639,5.23462640866482,36626.18323529411,75.0,20,True
fulfillment,rank_random,Rank_random,ranked,False,8,,,False,,,,479.99312654990354,94.58655239999644,963.2569574499794,3.2380637949393463,1.3901659983395454,331.7585157000285,0.17473587987272357,0.12077280473324917,6.399908353998714,36626.18323529411,75.0,20,True
fulfillment,tmax,TripMax,travel,True,8,,,False,,,,520.9856841501314,92.82358774991008,979.988463799993,3.514602164522569,1.414312796396801,372.7510733002564,0.18965874068949073,0.13569566555001633,6.946475788668419,36626.18323529411,75.0,20,True
fulfillment,tmin,TripMin,travel,False,8,,,False,,,,525.8343159001961,93.41123180021532,981.431289250002,3.5473113390012276,1.4163950724360534,377.59970505032106,0.19142382832963278,0.13746075319015838,7.011124212002614,36626.18323529411,75.0,20,True
store,cluster_map,CluMap,cluster_map,False,8,18.067955450002046,backfill,True,0.000892912903731307,per catalogue (one solve per inventory pair; the same value appears on every channel row),"once per arm, per inventory pair — a two-channel site does not pay it twice",494.8060435002262,24.88233415002469,641.7733135500166,10.030737764227407,3.1049468050570495,445.47706540004583,0.6283736560799864,0.5657288466103426,6.59741391333635,10499.189215686274,75.0,20,True
store,cluster_map_rank,CluMapRk,cluster_map,False,8,18.367742899994482,backfill,True,0.000892912903731307,per catalogue (one solve per inventory pair; the same value appears on every channel row),"once per arm, per inventory pair — a two-channel site does not pay it twice",487.78391389979515,25.3493645497947,635.1115041000012,9.888384732178576,3.0727164777265066,438.45493579961476,0.6194559775098613,0.5568111680402176,6.5037855186639355,10499.189215686274,75.0,20,True
store,cmax,MaxClu,affinity,False,8,,,False,,,,138.80956984989461,23.747169150039554,287.04494454999804,2.8139559179189035,1.3887446932908873,89.48059174971422,0.17627973233400626,0.11363492286436248,1.8507942646652615,10499.189215686274,75.0,20,True
store,cmin,MinClu,affinity,True,8,,,False,,,,142.1005651501182,23.94847575001768,289.5305504500284,2.880671171852201,1.4007702386586736,92.7715870499378,0.18045909670537655,0.11781428723573278,1.894674202001576,10499.189215686274,75.0,20,True
store,comp,Compact,codemand,False,8,,,False,,,,414.97259195012157,24.747522849560482,562.3273856500164,8.412349250523071,2.7205815240462274,365.6436138499412,0.5269900159911184,0.4643452065214746,5.532967892668288,10499.189215686274,75.0,20,True
store,expn,Expand,codemand,True,8,,,False,,,,376.19248649993096,25.198084199859295,520.6700414499792,7.626196629006496,2.519040208678045,326.8635083997506,0.4777416348021515,0.41509682533250775,5.015899819999079,10499.189215686274,75.0,20,True
store,fifo,FIFO,baseline,False,8,,,False,,,,49.32897810018039,22.135797649563756,206.69381919997977,1.0,1.0,0.0,0.06264480946964376,0.0,0.6577197080024052,10499.189215686274,75.0,20,True
store,map,Map,map,False,8,18.480913949999376,backfill,True,0.000892912903731307,per catalogue (one solve per inventory pair; the same value appears on every channel row),"once per arm, per inventory pair — a two-channel site does not pay it twice",59.713114499958465,25.716993500012904,209.48322630001348,1.2105078353475986,1.0134953580655206,10.384136399778072,0.07583203270686122,0.013187223237217455,0.7961748599994461,10499.189215686274,75.0,20,True
store,map_rank,Map_rank,map,False,8,18.442017550005403,backfill,True,0.000892912903731307,per catalogue (one solve per inventory pair; the same value appears on every channel row),"once per arm, per inventory pair — a two-channel site does not pay it twice",60.99544790011714,25.404745100211585,211.92945635001524,1.236503374877212,1.025330400155652,11.666469799936749,0.07746051832775445,0.014815708858110685,0.8132726386682285,10499.189215686274,75.0,20,True
store,rank_cartlabor,Rank_cartlabor,ranked,False,8,,,False,,,,96.70074914986617,23.43875555015984,245.72684600000503,1.9603233813901477,1.1888446734938898,47.371771049685776,0.12280408472607361,0.06015927525642984,1.2893433219982156,10499.189215686274,75.0,20,True
store,rank_labor,Rank_labor,ranked,False,8,,,False,,,,91.46758750008303,23.78754864993971,239.4715731999895,1.8542364148376416,1.15858120057425,42.138609399902634,0.1161582869191794,0.05351347744953563,1.2195678333344404,10499.189215686274,75.0,20,True
store,rank_maxlabor,Rank_maxlabor,ranked,True,8,,,False,,,,290.28426269986085,26.886429450154537,440.76541009999346,5.884659968230708,2.132455686415787,240.95528459968045,0.3686434025034526,0.3059985930338089,3.870456835998145,10499.189215686274,75.0,20,True
