cell,pair,pickcfg,channel,arm,ref_task_ms,cell_task_ms,d_task_ms_pct,ref_batch_ms,cell_batch_ms,d_batch_ms_pct,ref_thr_batch,cell_thr_batch,d_thr_batch_pct,ref_thr_task,cell_thr_task,d_thr_task_pct
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_cluster_map_norsl,965459.1913913253,965457.1313678448,0.00021337240340442835,60054.43711448044,51201.407932861766,14.741673733020495,1.3236021354550116,1.5504329023639805,17.13738296674716,0.0822273338184837,0.08223218984822107,0.005905614972384254
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_cluster_map_rank_norsl,965494.6547725998,965352.0541108298,0.014769699766340114,59424.47579834422,51045.36830823454,14.100431476323013,1.3313649739087225,1.5532923211110683,16.669159212653355,0.08218274381867874,0.08218627301770073,0.004294330972669858
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_cmax_norsl,962956.966211466,962934.0397672236,0.0023808378823570895,57259.27948960174,48898.8033720521,14.601085085375374,1.359971362413655,1.5955589833202262,17.322983955224924,0.08101044454958338,0.08101529672588023,0.005989568781938877
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_cmin_norsl,962892.5253652829,962965.0216931159,-0.0075290155363432155,51498.00160701833,48938.58514521094,4.969933554583948,1.51356370273565,1.5938057029741477,5.3015277846228965,0.0810172758027543,0.08101341646371503,-0.0047636001100059555
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_comp_norsl,963861.2769445528,963765.6664794225,0.009919525497838125,58741.830874602885,51131.59371251915,12.95539660370721,1.3463778111285725,1.5525822824043334,15.315498337195146,0.08240437542747557,0.08240833558301831,0.004805758823119773
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_expn_norsl,966322.6478263689,966413.5153564003,-0.0094034358229892,54943.22165273193,50433.51304940604,8.207943523642381,1.4439423011129582,1.5761773449884888,9.157917444042386,0.08224748838240281,0.08224298510605824,-0.005475275212827826
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_fifo_norsl,963277.9151673467,963290.9915133975,-0.0013574842571325624,51744.05658499278,48994.73612471606,5.313306767436749,1.5065172936749787,1.5924512447514778,5.70414634052245,0.08100117790061269,0.08100259238206649,0.0017462480058428062
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_map_norsl,962806.1147997852,962878.728418942,-0.0075418734925529465,52018.36505180711,48897.48620025108,5.999571206145802,1.4982458712015339,1.5952121401441177,6.471986394651016,0.08102547552606777,0.0810195359652801,-0.00733048556532786
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_map_rank_norsl,962744.0035026515,962925.1431451819,-0.01881493334380153,51907.76049979471,48846.78495192425,5.896951666567404,1.5020383663169092,1.5968031865999655,6.309081206455824,0.08103070743317806,0.08101625248988154,-0.01783884622806924
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_cartlabor_norsl,963076.8227194132,963057.6227194126,0.0019936104314542034,51654.647478270505,48960.4989460785,5.215694354172775,1.5093082483579587,1.593079675930193,5.550319337575532,0.08100207227335483,0.08100240241533749,0.0004075722674605859
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_labor_norsl,963059.2452369004,963155.2452369002,-0.009968234090951735,51742.73450840847,48947.18785042521,5.402781056206013,1.505657032000997,1.5936121642039884,5.841644566697923,0.08100241579284097,0.08099373702486375,-0.01071420881991595
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_maxlabor_norsl,963181.2613516067,963188.5723493441,-0.0007590469240645164,51531.62125750099,48967.20831749649,4.976387075404167,1.512041368470122,1.5928422320942903,5.3438262542990085,0.08099325006280612,0.08099499839939357,0.002158620114753356
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_minlabor_norsl,965556.6225195478,965668.7507790986,-0.011612810366127442,57954.229215388295,50690.7295437641,12.533165862027468,1.3602495376189214,1.5618738076316447,14.822594269405961,0.08200720242032572,0.08198739515102144,-0.02415308499704973
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_popularity_norsl,963176.8243274195,963109.6243274197,0.006976912058360869,51537.00232882212,48959.5017064888,5.001262211348774,1.5128369096640932,1.5931401054188914,5.308119813961209,0.0809914668354008,0.08100082168584946,0.011550414894535635
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_random_norsl,963211.5453612516,963136.864430015,0.007753326005720364,51674.48622025881,48987.0160110239,5.200768127194841,1.509325998931422,1.5924744685985122,5.508980149149876,0.08101099737610848,0.0810102166857186,-0.0009636844566319184
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_tmax_norsl,963060.1638322776,963198.5379801557,-0.014368172734650367,51629.06005154099,48967.44951515552,5.1552566204544545,1.5100736278510936,1.5928623261390626,5.482427926761514,0.08100274151447472,0.08099099683974059,-0.014499107702453586
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_tmin_norsl,963122.4718548744,963078.9285592736,0.004521054888994635,51782.3858545078,48953.3492750789,5.463318332565049,1.5058593663442155,1.593327147882131,5.808496031755047,0.08099799147624438,0.08100195249202125,0.004890264196272583
