metric,grouping,better,group_channel,n,n_pos,n_neg,n_zero,n_nan,win_rate,p_sign,ci_lo,ci_hi,median,q1,q3,iqr,min,max,group_assignment,group_scheduler
thr_gain_vs_ref_pct,channel,higher,fulfillment,68,68,0,0,0,1.0,3.3881317890172014e-21,0.956901435179904,1.0,5.482879369194538,5.29124370796249,13.170966594540456,7.879722886577966,4.687984047840343,21.455478565397446,,
thr_gain_vs_ref_pct,channel,higher,store,68,68,0,0,0,1.0,3.3881317890172014e-21,0.956901435179904,1.0,44.840495309769224,43.0124597738401,53.38726618627753,10.37480641243743,39.83791027680654,66.17664688299605,,
thr_gain_vs_ref_pct,channel,higher,,136,136,0,0,0,1.0,1.1479437019748901e-41,0.9782133893889967,1.0,30.64669442110199,5.487781865582897,44.8163662690377,39.328584403454805,4.687984047840343,66.17664688299605,,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,17.964752722388056,15.867918616978038,20.216134009153585,4.348215392175547,15.756956638902885,20.790737531295278,cluster_map,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,18.097371844932333,16.28803506700786,20.176151719400977,3.8881166523931157,15.817037510643917,21.455478565397446,cluster_map_rank,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,17.11125543666666,16.68978026822639,17.202453509718296,0.5126732414919069,15.503985305156265,17.397417186622512,cmax,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,5.076644475284886,4.975376271327997,5.1246031701172035,0.14922689878920625,4.687984047840343,5.252066866231142,cmin,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,16.894262458717392,15.008527845364661,18.82112280905833,3.8125949636936696,14.889383376812892,19.063644488574717,comp,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,9.073660134130511,8.852696973909868,9.18169210458633,0.32899513067646247,8.487455477018923,9.208140032182799,expn,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,5.268559407523643,5.064044438629467,5.473074376417819,0.40902993778835217,5.064044438629467,5.473074376417819,fifo,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,5.598585184620153,5.413280704362666,5.826936937436622,0.41365623307395616,5.335498877000244,6.033860582475992,map,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,5.919406693811469,5.615807642692344,6.166187028509473,0.5503793858171289,5.441154640860879,6.170383881077579,map_rank,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,5.27052009249529,5.232775587466554,5.318016368541922,0.08524078107536859,5.204749437528822,5.375297831533343,rank_cartlabor,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,5.407721592504644,5.371629548888785,5.439097888099292,0.06746833921050754,5.303895830953187,5.492684361971256,rank_labor,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,5.106992133548416,4.948914960448208,5.257177327472512,0.30826236702430343,4.835882516498424,5.346533833893963,rank_maxlabor,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,12.402882664092353,11.748484162638533,13.170966594540456,1.4224824319019227,11.561624278650818,13.698882765511033,rank_minlabor,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,5.289085773381763,5.249543207317576,5.329288046972369,0.07974483965479351,5.143863116609371,5.436947260259828,rank_popularity,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,5.350134022395392,5.261538489218237,5.452332952840272,0.19079446362203445,5.243521500424664,5.511160133437021,rank_random,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,5.365220715978225,5.285264250813581,5.387980287947608,0.10271603713402655,5.0617383756649925,5.439915483510416,tmax,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,5.656484775248405,5.535406979545732,5.7008341728231215,0.16542719327738986,5.188610792386128,5.817445165598856,tmin,
thr_gain_vs_ref_pct,channel_x_rule,higher,store,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,53.85907245012942,52.98492765529358,55.19012297317879,2.205195317885206,52.735155683531154,56.81061212958183,cluster_map,
