cell,scheduler,pair,pickcfg,channel,arm,initial,assignment,items,elapsed_hours,labor_hours,mean_thr_items_hr,auc_item_hours,shape_index,auc_gain_vs_ref_pct,thr_gain_vs_ref_pct,labor_delta_vs_ref_pct
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_cluster_map_norsl,opt,cluster_map,6029996.0,1.2461051398022247,20.303727191399478,4839074.8159156535,3820239.715148612,1.0168312842805804,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_cluster_map_rank_norsl,opt,cluster_map_rank,6026720.0,1.2478497936673196,20.30415389579414,4829683.853445218,3776948.9917093343,1.004448764847109,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_cmax_norsl,opt,cmax,5929907.0,1.2071527493452598,20.251350825273956,4912308.739069091,3571206.769209483,0.9977802003075911,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_cmin_norsl,opt,cmin,5929936.0,1.083418339545663,20.249262056397182,5473357.597478689,3216419.6136862384,1.001282229372477,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_comp_norsl,opt,comp,6034047.0,1.2383296401986705,20.274612999993657,4872730.817484052,3740781.764846289,1.0012612558364917,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_expn_norsl,opt,expn,6039176.0,1.1519166388858888,20.32221226884462,5242719.65186732,3494952.253800864,1.0047835231805264,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_fifo_norsl,opt,fifo,5931256.0,1.0868081224613682,20.258478105900245,5457500.618018093,3233357.8820450627,1.0031923873574,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_map_norsl,opt,map,5929998.0,1.0907768987319642,20.24818740586622,5436490.273028026,3248096.496244908,1.0043115105587879,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_map_rank_norsl,opt,map_rank,5929989.0,1.0912462462380712,20.246662835487943,5434143.778677693,3244630.324267434,1.0028097963565492,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_cartlabor_norsl,opt,rank_cartlabor,5929944.0,1.0853812616407386,20.254299648504674,5463466.350096997,3227381.9539309335,1.0028764897874967,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_labor_norsl,opt,rank_labor,5929904.0,1.0862265113242742,20.254510687233367,5459178.116330959,3230737.8597891573,1.0031448682891755,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_maxlabor_norsl,opt,rank_maxlabor,5929980.0,1.0836742679916491,20.256086106809565,5472105.571898378,3222337.558268733,1.002880158824624,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_minlabor_norsl,opt,rank_minlabor,6018192.0,1.2120331675297142,20.307047799849087,4965369.068460297,3668106.980318689,1.0057532519153645,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_popularity_norsl,opt,rank_popularity,5930041.0,1.0845192524482004,20.255468917646347,5467898.321411528,3220230.751294603,1.0014332951461709,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_random_norsl,opt,rank_random,5931266.0,1.0864120723468735,20.25636178798997,5459499.347413588,3230355.752871941,1.002624619277888,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_tmax_norsl,opt,tmax,5929843.0,1.0851715678244973,20.254776389379693,5464429.013642405,3228939.793665118,1.0035715508697167,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_tmin_norsl,opt,tmin,5929906.0,1.0878203080632947,20.25389282023551,5451181.556407356,3234990.152898799,1.002993197232361,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,uni,cluster_map,6020389.0,1.2434544910028016,20.299351762952064,4841664.124872613,3789197.3593730535,1.0123315516696267,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,uni,cluster_map_rank,6017219.0,1.2395039323136603,20.29587324671073,4854538.047949754,3773668.186866465,1.0119288533626398,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cmax_norsl,uni,cmax,5930062.0,1.2047025692879134,20.25215888782157,4922428.283277585,3624298.8260638053,1.014646878076996,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cmin_norsl,uni,cmin,5930190.0,1.0821188890651083,20.25511735995669,5480164.942988252,3215151.2595750922,1.0020463698401592,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_comp_norsl,uni,comp,6022496.0,1.2359800027032362,20.26788793587699,4872648.414074726,3775916.271232953,1.014528815444546,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_expn_norsl,uni,expn,6026075.0,1.153542351361985,20.31776522514262,5223973.782050591,3474070.4073366183,0.9995408203812537,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_fifo_norsl,uni,fifo,5931256.0,1.0868081224613682,20.258478105900245,5457500.618018093,3233357.8820450627,1.0031923873574,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,uni,map,5930176.0,1.0878327435728434,20.249361329240585,5451367.441398314,3237194.3939569863,1.0036194414095643,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_rank_norsl,uni,map_rank,5930181.0,1.0906334419122121,20.24891354669813,5437373.155918078,3241393.407770165,1.0023398130163306,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_cartlabor_norsl,uni,rank_cartlabor,5930186.0,1.0842992566390597,20.253671037083166,5469141.44198665,3226012.6204041643,1.003410364067807,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_labor_norsl,uni,rank_labor,5930055.0,1.0844892216994964,20.254961911885598,5468062.643081917,3225480.201772764,1.0030911868144783,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_maxlabor_norsl,uni,rank_maxlabor,5930212.0,1.085056199922402,20.25690658896243,5465350.090091279,3232293.7535890234,1.0046582767818664,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_minlabor_norsl,uni,rank_minlabor,6004184.0,1.184754448544361,20.298868164780046,5067872.087230389,3595396.9002040545,1.0108681062257971,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_popularity_norsl,uni,rank_popularity,5930145.0,1.085662578022005,20.25599720692344,5462235.799638848,3229431.791355193,1.0032194213244674,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_random_norsl,uni,rank_random,5931212.0,1.0870172864078562,20.256282051886494,5456410.007609179,3234817.2515006047,1.0034594986984833,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_tmax_norsl,uni,tmax,5930042.0,1.0852047728051177,20.25699510208721,5464445.189152263,3225006.007480724,1.0022846038338082,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_tmin_norsl,uni,tmin,5930074.0,1.0829595013482871,20.252997118669576,5475804.028328893,3216510.285440174,1.0017113885971745,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_cluster_map_norsl,opt,cluster_map,2540231.0,9.68763583994391,123.14901701629304,262213.71673841815,12428026.088600127,1.0100459579329084,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_cluster_map_rank_norsl,opt,cluster_map_rank,2540001.0,10.111862974945195,123.69470706008445,251190.21156571462,13010473.790068032,1.0131133643092944,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_cmax_norsl,opt,cmax,2534534.0,10.188735375215542,125.36731282857463,248758.4480960555,12844928.244023848,0.994817173487862,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_cmin_norsl,opt,cmin,2539103.0,8.075865777733211,125.53586302695177,314406.2902829339,10292237.70513442,1.0038536275511682,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_comp_norsl,opt,comp,2540674.0,10.945086023038407,125.73888606093733,232129.19429341287,14000863.102864062,1.00697034837912,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_expn_norsl,opt,expn,2539665.0,8.065647129109818,125.9522101156379,314874.30076553515,10244297.101766918,1.0002222455629721,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_fifo_norsl,opt,fifo,2535417.0,8.090728784024963,125.85589536322834,313373.1296253741,10263166.450310495,1.0006318609956562,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_map_norsl,opt,map,2536075.0,7.950016488771426,122.87997019389313,319002.4830240218,10128060.794228652,1.0046763356289299,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_map_rank_norsl,opt,map_rank,2536292.0,7.920250199754232,122.94422504537043,320228.7725807831,10043685.492602272,0.9999653408950246,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_rank_cartlabor_norsl,opt,rank_cartlabor,2535622.0,7.880155636315549,122.49795180271597,321773.08634802006,10021926.569581544,1.003140825924339,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_rank_labor_norsl,opt,rank_labor,2535348.0,7.9019366305483505,122.48276816142737,320851.4720554094,10044718.021304578,1.002759128026311,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_rank_maxlabor_norsl,opt,rank_maxlabor,2539098.0,8.409698847742028,129.89383753858294,301924.9614011729,10708950.078049418,1.0030370664910935,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_rank_minlabor_norsl,opt,rank_minlabor,2539931.0,9.500790564577496,122.80014198131055,267338.91066600435,12185645.299290271,1.0099430033731722,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_rank_popularity_norsl,opt,rank_popularity,2535992.0,8.057235126416,124.91977383677474,314747.17570120783,10257972.967480503,1.004055291554129,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_rank_random_norsl,opt,rank_random,2535009.0,8.103779942817903,125.11087341234732,312818.0945049834,10255647.623327246,0.9984491261312952,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_tmax_norsl,opt,tmax,2536143.0,8.187041786795165,126.88570288300632,309775.26022775786,10390824.644148918,1.0008736755553174,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_tmin_norsl,opt,tmin,2535095.0,8.08815527677155,125.06650549086238,313433.0280825052,10283989.626233324,1.0031084909695869,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_cluster_map_norsl,uni,cluster_map,2539714.0,10.10672648164515,123.44851824165275,251289.47583694686,13142373.561130507,1.024020091358617,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_cluster_map_rank_norsl,uni,cluster_map_rank,2539543.0,9.873106160386913,123.85286535850963,257218.24102218295,12731615.495021837,1.015556598282426,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_cmax_norsl,uni,cmax,2534064.0,9.852054432662467,125.34319847605428,257211.733585112,12669228.70425066,1.014929299009089,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_cmin_norsl,uni,cmin,2538569.0,8.070072541561135,125.48896247105327,314565.82167338487,10282951.997157212,1.0038790550306982,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_comp_norsl,uni,comp,2540320.0,10.039769710291127,125.73828039839951,253025.72402592862,13058682.466894288,1.0240406080270146,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_expn_norsl,uni,expn,2539370.0,8.116004837029143,125.95284093031972,312884.23935064266,10315893.996560378,1.0010795384552225,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_fifo_norsl,uni,fifo,2535417.0,8.090728784024963,125.85589536322834,313373.1296253741,10263166.450310495,1.0006318609956562,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_map_norsl,uni,map,2535840.0,7.937751391612156,123.26230393716024,319465.78758811083,10088378.524335595,1.002379148245266,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_map_rank_norsl,uni,map_rank,2536089.0,7.944935149703434,123.32081405745944,319208.2694463109,10061058.402605291,0.9986626755721301,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_rank_cartlabor_norsl,uni,rank_cartlabor,2535744.0,7.937770730763204,122.8025176828213,319452.9151834286,10052226.981880544,0.9988225179738798,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_rank_labor_norsl,uni,rank_labor,2535748.0,7.96558884558391,122.81013543473202,318337.79638347874,10145501.742774973,1.0045684812800213,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_rank_maxlabor_norsl,uni,rank_maxlabor,2539118.0,8.353197246570387,129.50032464340816,303969.596916019,10655671.557970623,1.0047897600360831,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_rank_minlabor_norsl,uni,rank_minlabor,2539535.0,9.240347572771892,123.04625143825997,274831.11214161804,11966761.55341734,1.0199153382725776,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_rank_popularity_norsl,uni,rank_popularity,2536000.0,8.104411999047102,124.96855289580475,312915.9771613508,10290861.873871189,1.0014078341581205,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_rank_random_norsl,uni,rank_random,2534973.0,8.104190398764526,125.15667505329286,312797.8089441795,10294188.457683474,1.0021647817264565,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_tmax_norsl,uni,tmax,2536011.0,8.127640635175617,126.73517721419496,312023.02289601706,10347561.283241697,1.004043148488407,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_tmin_norsl,uni,tmin,2535045.0,8.060487168219039,125.08808888117544,314502.7027640709,10253436.14243467,1.0035810743904316,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_cluster_map_norsl,opt,cluster_map,5031621.0,1.104700464506634,17.658697699307986,4554737.833161999,2798360.1362223704,1.0068879501201637,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_cluster_map_rank_norsl,opt,cluster_map_rank,5026945.0,1.1127285241362084,17.653347677572654,4517674.249343369,2811071.0365897184,1.005098121871384,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_cmax_norsl,opt,cmax,4958866.0,1.0508080831872275,17.661367503371583,4719097.691901229,2594608.9425501274,0.9958550466629301,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_cmin_norsl,opt,cmin,4955031.0,0.9446773066026073,17.64546190966675,5245210.153105126,2349634.346622938,1.00392303469152,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_comp_norsl,opt,comp,5037028.0,1.0903212140009664,17.649284207661406,4619765.198841243,2764810.5405713776,1.006854105007172,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_expn_norsl,opt,expn,5042831.0,1.0035076813851502,17.69447296562391,5025204.184824313,2504451.1348252967,0.989799985297279,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_fifo_norsl,opt,fifo,4959953.0,0.946629267662217,17.670421861775758,5239593.967181084,2358879.8476695204,1.0047969933922636,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_map_norsl,opt,map,4956349.0,0.9461752071538329,17.64291316098535,5238299.378937518,2357286.5556984837,1.005330668991919,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_map_rank_norsl,opt,map_rank,4954839.0,0.9468529272095654,17.63552025280038,5232955.25378183,2354171.6424704636,1.0035893552722521,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_cartlabor_norsl,opt,rank_cartlabor,4967169.0,0.9474736565793166,17.68864464510316,5242540.481740749,2369554.4790823297,1.0069794636286027,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_labor_norsl,opt,rank_labor,4967055.0,0.9491178031960354,17.689044355529916,5233338.773410491,2369021.503167317,1.0050320459197524,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_maxlabor_norsl,opt,rank_maxlabor,4967354.0,0.945726758496298,17.690110687144355,5252419.8510551555,2362352.8275471833,1.005735938124535,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_minlabor_norsl,opt,rank_minlabor,5019348.0,1.0378853202781606,17.691686535752147,4836129.678233409,2599176.9821130247,0.9978589833850258,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_popularity_norsl,opt,rank_popularity,4967392.0,0.9482878087368981,17.688607685478924,5238274.661166924,2369178.270779331,1.005910023277124,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_random_norsl,opt,rank_random,4961933.0,0.9483199573258136,17.66632525075757,5232340.584703346,2365096.1003826633,1.005247499622832,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_tmax_norsl,opt,tmax,4960661.0,0.9490849895931298,17.66736443472463,5226782.695327025,2371202.7115152776,1.0072888448468869,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_tmin_norsl,opt,tmin,4960625.0,0.9508831043895679,17.665376841599816,5216861.018037058,2374619.9391707727,1.0068402698871939,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_cluster_map_norsl,uni,cluster_map,5026472.0,1.098114191171852,17.661343341010994,4577367.308800557,2784560.904923113,1.0089646377325359,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,uni,cluster_map_rank,5021919.0,1.0949491471546107,17.652321050438836,4586440.395930906,2788319.3676950396,1.014165558894148,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_cmax_norsl,uni,cmax,4958906.0,1.0363039542609294,17.662421009944033,4785184.867442284,2604905.3543637753,1.0137921237255225,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_cmin_norsl,uni,cmin,4958940.0,0.9421140161738255,17.665833697663725,5263630.425688356,2349603.2583944025,1.0058476667199372,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_comp_norsl,uni,comp,5029909.0,1.0879903021475772,17.646093052127267,4623119.3330230005,2776245.554091562,1.0146183662560315,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_expn_norsl,uni,expn,5034593.0,0.9976081158481546,17.69548941918965,5046664.035726743,2494311.716627124,0.99324498553812,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_fifo_norsl,uni,fifo,4959953.0,0.946629267662217,17.670421861775758,5239593.967181084,2358879.8476695204,1.0047969933922636,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_map_norsl,uni,map,4956075.0,0.9473514190753503,17.642855809160515,5231506.387394565,2355730.94094896,1.00347533435096,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_map_rank_norsl,uni,map_rank,4954804.0,0.9486631636155668,17.637253246207543,5222932.849122272,2356294.2662035585,1.002584544122364,0.0,0.0,0.0
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_rank_cartlabor_norsl,uni,rank_cartlabor,4967324.0,0.9476886713460687,17.690253343283125,5241514.592492239,2365026.942971649,1.004796031029872,0.0,0.0,0.0
