strategy,label,color,total_production_time,production_time_per_item,mean_completion_rate,mean_queue_depth_units,max_queue_depth_units,mean_recv_depth_units,max_recv_depth_units,total_recv_seconds,mean_in_transit_pieces,mean_reorder_placements,mean_batch_prod_hours
uni_rank_minlabor_norsl,Uni|Rank_minlabor|noRSL,#d9ca5b,23618615.30544889,18.76967598194834,1.2025761080216082,237.975,6374.0,0.0,0.0,4846488.92409316,51781.9,14657.15,164.0181618433951
uni_fifo_norsl,Uni|FIFO|noRSL,#d95b5b,23631570.154394276,18.78350893202163,1.2012026105235782,516.7,6891.0,0.0,0.0,4810881.113437273,52413.8,14549.275,164.10812607218247
opt_rank_minlabor_norsl,Opt|Rank_minlabor|noRSL,#5b6ad9,23323516.692442834,18.535515107459446,1.2163561383700412,189.95,4445.0,0.0,0.0,4839321.603198293,53495.625,14626.0,161.9688659197419
opt_fifo_norsl,Opt|FIFO|noRSL,#5bd9d9,23631570.154394276,18.78350893202163,1.2012026105235782,516.7,6891.0,0.0,0.0,4810881.113437273,52413.8,14549.275,164.10812607218247
